ID_Wisata,Nama_Wisata,Kota,Kategori,Deskripsi_Wisata
W_73ace55b,Jl. Malioboro,Yogyakarta,Budaya/Sejarah,Destinasi wisata Jl. Malioboro berlokasi di Yogyakarta.
W_6f17a023,Keraton Ngayogyakarta Hadiningrat,Yogyakarta,Budaya/Sejarah,"Dibangun pada abad ke-18, istana megah ini masih digunakan oleh keluarga kerajaan Indonesia."
W_95a7288c,Kampung Wisata Taman Sari,Yogyakarta,Budaya/Sejarah,Bekas taman kerajaan dari abad ke-18 dengan kompleks pemandian bertingkat dan arsitektur yang indah.
W_05ed3f8c,Tugu Jogja,Yogyakarta,Budaya/Sejarah,"Tugu putih & emas bersejarah di penyeberangan tengah jalan, dibangun sejak 1889 & diterangi cahaya saat malam."
W_7f931485,Museum Benteng Vredeburg,Yogyakarta,Budaya/Sejarah,Museum yang dulunya benteng kolonial ini menampilkan sejarah perjuangan kemerdekaan Indonesia.
W_087243b3,Candi Prambanan,Yogyakarta,Budaya/Sejarah,Kompleks candi Hindu yang luas & dibangun pada abad ke-9 dengan struktur batu atas meruncing & patung.
W_5191900c,Keraton Ratu Boko,Yogyakarta,Budaya/Sejarah,"Situs arkeologis yang memadukan arsitektur khas Budha & Hindu, candi batu & gua."
W_7a86122e,Candi Sewu,Yogyakarta,Budaya/Sejarah,Kompleks candi Budha besar dengan beberapa bangunan yang telah ada sejak abad ke-8.
W_a7f5b607,Candi Sambisari,Yogyakarta,Budaya/Sejarah,"Setelah terkubur di bawah tanah, situs bersejarah ini menyajikan kuil Hindu abad ke-9 yang digali."
W_88d3109b,Candi Ijo,Yogyakarta,Budaya/Sejarah,"Kompleks candi abad ke-9 yang berundak di puncak bukit, plus panorama lahan pertanian di sekitarnya."
W_15a2882b,Candi Plaosan Lor,Yogyakarta,Budaya/Sejarah,"1 dari 2 candi Budha yang indah di area abad ke-9 dengan berbagai bangunan, stupa & tempat suci."
W_fd8a1cfa,Monumen Yogya Kembali,Yogyakarta,Budaya/Sejarah,Museum berbentuk kerucut yang menghadirkan diorama & pameran lain tentang Perjuangan Kemerdekaan Indonesia.
W_2b23c63e,Pantai Parangtritis,Yogyakarta,Alam,"Pantai yang ramai dengan penyewaan kursi/payung pantai, deburan ombak, dan kereta kuda."
W_78b802d1,Pantai Indrayanti,Yogyakarta,Alam,Destinasi wisata Pantai Indrayanti berlokasi di Yogyakarta.
W_4e4b4d0e,Pantai Timang,Yogyakarta,Alam,Pantai pasir putih dengan pulau yang terhubung ke daratan melalui jembatan tali dan kereta gantung.
W_e255b8c3,Pantai Jogan,Yogyakarta,Alam,Destinasi tepi laut dengan tempat observasi di samping air terjun yang mengalir ke pantai berbatu.
W_d3f8237c,Pantai Pok Tunggal,Yogyakarta,Alam,"Pantai pasir putih yang dikelilingi tebing & pepohonan, dengan pohon ikonis yang populer untuk tempat foto."
W_71859240,Pantai Nglambor,Yogyakarta,Alam,Pantai berpasir yang tenang dengan tempat penyewaan alat snorkeling & kursus snorkeling.
W_e2f26777,Pantai Drini,Yogyakarta,Alam,Pantai pasir putih yang dibagi menjadi 2 pantai oleh pulau karang ini memiliki restoran & pasar ikan.
W_569bfdf6,Pantai Glagah Indah,Yogyakarta,Alam,"Terkenal dengan ombak yang besar, pantai populer ini memiliki panorama sunset indah & penjual makanan lokal."
W_c60c9a2d,Hutan Pinus Mangunan,Yogyakarta,Budaya/Sejarah,Hutan yang dikelola pemerintah dengan pepohonan Pinus Sumatra menjulang tinggi ke langit.
W_36da6338,Puncak Pinus Becici,Yogyakarta,Budaya/Sejarah,"Area hutan dengan dekorasi tempat duduk untuk kesempatan berfoto dengan pemandangan gunung, lembah & kota."
W_a72d6d74,Kebun Buah Mangunan,Yogyakarta,Budaya/Sejarah,Kebun buah di puncak bukit yang menawan dengan beragam pohon buah di tengah pemandangan luas di wilayah ini.
W_dd36f062,Gunung Api Purba Nglanggeran,Yogyakarta,Alam,"Puncak vulkanis & area rekreasi yang terkenal dengan hiking, perkemahan & pemandangan indahnya."
W_c32e91e5,Bunker Kaliadem Merapi,Yogyakarta,Budaya/Sejarah,"Bungker beton terbengkalai dengan panorama gunung Merapi aktif, bisa dicapai melalui jalan tanah bergelombang."
W_3d78e627,Goa Pindul,Yogyakarta,Alam,Wisata populer tempat pengunjung mengambang ke dalam gua besar naik ban pelampung.
W_2f4daa6a,Goa Jomblang,Yogyakarta,Alam,Gua pembuangan vertikal berbatu yang bisa dieksplorasi menggunakan peralatan caving yang disediakan di lokasi.
W_ffcc9487,Lava Tour Merapi by Amtra Journey,Yogyakarta,Budaya/Sejarah,Destinasi wisata Lava Tour Merapi by Amtra Journey berlokasi di Yogyakarta.
W_923cd239,Taman Pelangi Jogja,Yogyakarta,Budaya/Sejarah,Kegiatan berfoto sangat digemari di tempat wisata ini dengan lampion yang menyala saat malam & wahana anak.
W_1a691e24,HeHa Sky View,Yogyakarta,Budaya/Sejarah,"Resto, kafe & kios kuliner kaki lima di atap yang terletak di lebih dari 3 lantai berpanorama kota & pedesaan."
W_9de49343,HeHa Ocean View,Yogyakarta,Budaya/Sejarah,Destinasi wisata HeHa Ocean View berlokasi di Yogyakarta.
W_4c9f7b80,Obelix Hills,Yogyakarta,Budaya/Sejarah,Destinasi wisata Obelix Hills berlokasi di Yogyakarta.
W_d17aa4a7,The Lost World Castle,Yogyakarta,Budaya/Sejarah,"Pusat pengunjung bergaya benteng batu abad pertengahan, dengan pameran geologi & pemandangan gunung Merapi."
W_534af67d,Tebing Breksi,Yogyakarta,Budaya/Sejarah,"Tebing batu kapur indah dengan pemandangan luas, ukiran rumit & teater terbuka."
W_ea54595d,Gembira Loka Zoo (Pintu masuk Timur),Yogyakarta,Budaya/Sejarah,"Dibuka pada 1956, kebun binatang 21 hektare dengan kolam sentuh, memberi makan hewan, naik gajah & unta."
W_e08a4062,Blue Lagoon Jogja,Yogyakarta,Budaya/Sejarah,Tempat berenang populer di kolam mata air alami yang dikelilingi pepohonan & bebatuan.
W_5197eb22,Puncak Sosok,Yogyakarta,Budaya/Sejarah,"Puncak bukit populer dengan panorama kota & matahari terbenam, serta kios makanan & sesekali musik live."
W_8aea0d05,Titik Nol Kilometer Yogyakarta,Yogyakarta,Budaya/Sejarah,Destinasi wisata Titik Nol Kilometer Yogyakarta berlokasi di Yogyakarta.
W_2f597ed3,Taman Pintar Yogyakarta,Yogyakarta,Budaya/Sejarah,Pusat pendidikan anak-anak populer yang menawarkan berbagai pameran interaktif dan game ilmu pengetahuan.
W_3d382ffb,Museum Sonobudoyo Unit I,Yogyakarta,Budaya/Sejarah,"Museum sejarah budaya Indonesia yang menampilkan topeng, senjata & artefak lain, & pertunjukan wayang golek."
W_0960c9bf,Pasar Tradisional Beringharjo,Yogyakarta,Budaya/Sejarah,"Pasar tradisional untuk pedagang pakaian, suvenir, dll yang buka sejak tahun 1758."
W_aeaae01e,Ullen Sentalu Museum,Yogyakarta,Budaya/Sejarah,"Artefak terkait seni & budaya Jawa, dengan tur berpemandu, restoran & taman yang rimbun."
W_ef8189f5,SKE City Park Yogyakarta,Yogyakarta,Budaya/Sejarah,"Taman hiburan dengan wahana untuk anak & dewasa, termasuk bianglala raksasa, zipline, & Segway."
W_a2af8ed2,Embung Nglanggeran,Yogyakarta,Budaya/Sejarah,"Danau indah di gunung berapi, yang digunakan untuk mengumpulkan air hujan untuk kebun buah di sekitar."
W_88853041,Hutan Pinus Pengger,Yogyakarta,Budaya/Sejarah,Objek wisata terbuka di kawasan hutan dengan tempat berfoto unik yang terbuat dari material alami.
W_e63d0a30,Pintoe Langit Dahromo,Yogyakarta,Budaya/Sejarah,"Anjungan observasi dengan pintu dan piano kayu, serta menawarkan kesempatan berfoto kreatif."
W_1d0b8a7c,Bukit Bintang,Yogyakarta,Alam,"Bukit yang terkenal dengan pemandangan indah, terutama saat langit malam dipenuhi bintang."
W_788d3419,Ekowisata Sungai Mudal,Yogyakarta,Budaya/Sejarah,Air terjun yang indah dan kolam alami menarik pengunjung ke taman dan kolam renang yang ramai ini.
W_bbffc6b9,Waduk Sermo,Yogyakarta,Budaya/Sejarah,"Berperahu di bendungan yang dikelilingi hutan yang populer untuk berkemah, bersepeda & memancing."
W_daf802c7,De Mata Museum Jogja,Yogyakarta,Budaya/Sejarah,Museum unik yang menampilkan gambar latar belakang seperti nyata untuk menciptakan ilusi optik interaktif.
W_b7889510,Alun-Alun Kidul Yogyakarta,Yogyakarta,Budaya/Sejarah,"Alun-alun yang terkenal dengan hiburan malam, rental gokar berlampu neon, kios camilan, bar, dan musik ceria."
W_4d36c3d9,Kids Fun Park (Pusat),Yogyakarta,Budaya/Sejarah,"Taman petualangan dengan seluncuran air & area percik, serta gokar, zip line & wahana anak-anak."
W_ff356cd9,Candi Kalasan,Yogyakarta,Budaya/Sejarah,Candi Budha abad ke-8 yang dipenuhi dekorasi ini dihiasi ukiran gambar dewa-dewi yang sangat detail.
W_7f2dd747,Candi Sari,Yogyakarta,Budaya/Sejarah,Reruntuhan candi Budha abad ke-8 yang awalnya dibangun dari kayu & batu.
W_2434ca56,Candi Barong,Yogyakarta,Budaya/Sejarah,"Candi Hindu abad ke-9 terletak di rangkaian terasering tepi bukit, yang populer dengan panorama sunset-nya."
W_b9824261,Candi Banyunibo,Yogyakarta,Budaya/Sejarah,"Candi Buddha abad ke-9 yang dipugar dengan dekorasi ukiran, yang dikelilingi sawah & hutan."
W_c311c291,Air Terjun Sri Gethuk,Yogyakarta,Alam,Air terjun alami yang indah di tengah hutan & tebing kapur ini merupakan tempat populer untuk berenang.
W_6cdd4d64,Pantai Sadranan,Yogyakarta,Alam,Destinasi wisata Pantai Sadranan berlokasi di Yogyakarta.
W_617d6ad1,Pantai Krakal,Yogyakarta,Alam,Destinasi wisata Pantai Krakal berlokasi di Yogyakarta.
W_1b18b716,Pantai Kukup,Yogyakarta,Alam,"Pantai dengan terumbu karang lepas pantai, kedai seafood & matahari terbenam dari paviliun di puncak tebing."
W_8c157c61,Pantai Baron,Yogyakarta,Alam,"Pantai di teluk, terkenal dengan kegiatan memancing & sup ikan terkenal, area berenang & jalur gunung indah."
W_2566cee9,Pantai Sepanjang,Yogyakarta,Alam,Destinasi wisata Pantai Sepanjang berlokasi di Yogyakarta.
W_85135e2d,Pantai Ngandong,Yogyakarta,Alam,"Pantai berpasir di teluk kecil populer untuk memancing, serta menghadap ke singkapan berbatu & kafe simpel."
W_536421c4,Pantai Wediombo,Yogyakarta,Alam,"Garis pantai berpasir panjang & lebar, bebatuan karang dengan air tenang & pemandangan perbukitan hijau."
W_14e02ad1,Pantai Siung,Yogyakarta,Alam,Pantai berpasir yang tertutup pepohonan & tebing yang populer dengan pemanjat tebing & perahu nelayan cadik.
W_86e3aaee,Pantai Ngobaran,Yogyakarta,Alam,"Pantai kecil untuk berenang, berjemur & tempat makan di sekitar di teluk yang dikelilingi tebing rimbun."
W_c1453317,Pantai Ngrenehan,Yogyakarta,Alam,Pantai berpasir di teluk yang dihiasi perahu nelayan lokal & dinaungi oleh tanjung batu kapur berwarna hijau.
W_6173c864,Pantai Gesing,Yogyakarta,Alam,Pantai pasir putih di tepi tebing curam dengan air hijau cerah untuk berenang & menyantap lobster & sembilang.
W_cf698803,Pantai Kuwaru,Yogyakarta,Alam,Destinasi wisata Pantai Kuwaru berlokasi di Yogyakarta.
W_39933fbe,Gumuk Pasir Parangkusumo,Yogyakarta,Budaya/Sejarah,"Area bukit pasir unik & indah, destinasi populer untuk fotografi & seluncur pasir."
W_3613095e,Hutan Pinus Asri,Yogyakarta,Budaya/Sejarah,Area mendaki di hutan yang terkenal dengan pohon pinus & tempat untuk berfoto dengan titik pengamatan gunung.
W_ab2082d6,Seribu Batu Songgo Langit,Yogyakarta,Budaya/Sejarah,"Jalan setapak & tempat observasi di bukit berhutan, plus rumah hobbit kayu terinspirasi ""Lord of the Rings""."
W_bee04781,Jurang Tembelan Kanigoro,Yogyakarta,Budaya/Sejarah,Panggung kayu yang menjorok keluar dengan pemandangan menawan dari atas jurang.
W_1a40311c,Bukit Pengilon,Yogyakarta,Alam,Destinasi wisata Bukit Pengilon berlokasi di Yogyakarta.
W_9f8aa56b,Bukit Paralayang Watugupit,Yogyakarta,Alam,Tempat observasi di puncak bukit yang menghadap Samudera Hindia & pantai & titik lepas landas paralayang.
W_eda7542b,Grojogan Watu Purbo,Yogyakarta,Budaya/Sejarah,"Kumpulan air terjun sejajar dari bendungan, populer untuk selfie & pemandangan matahari terbenam di pedesaan."
W_492207ad,Kedung Pedut,Yogyakarta,Alam,Pengunjung dapat mendaki ke air terjun kecil indah ini melalui batuan & berenang di kolam bagian bawah.
W_6b97e710,Air Terjun Kembang Soka,Yogyakarta,Budaya/Sejarah,Destinasi wisata Air Terjun Kembang Soka berlokasi di Yogyakarta.
W_4c280c36,Wisata Alam Kalibiru,Yogyakarta,Budaya/Sejarah,"Tujuan wisata alam yang menawarkan game & aktivitas outdoor, plus area untuk berfoto."
W_e08dd8b1,PINTU MASUK AYUNAN LANGIT,Yogyakarta,Budaya/Sejarah,Destinasi wisata PINTU MASUK AYUNAN LANGIT berlokasi di Yogyakarta.
W_595cc8fa,Goa Kiskendo,Yogyakarta,Alam,Destinasi wisata Goa Kiskendo berlokasi di Yogyakarta.
W_5c461c06,Goa Rancang Kencono,Yogyakarta,Alam,Destinasi wisata Goa Rancang Kencono berlokasi di Yogyakarta.
W_9af2732c,Affandi Museum,Yogyakarta,Budaya/Sejarah,Museum rumah yang menampilkan arsitektur unik & berbagai lukisan dari seniman Indonesia ini.
W_30f77f3c,Museum Pusat TNI AU Dirgantara Mandala,Yogyakarta,Budaya/Sejarah,"Pameran TNI AU Indonesia, termasuk jet tempur PDII & diorama yang menunjukkan peristiwa bersejarah."
W_dccf7412,Museum Gunungapi Merapi,Yogyakarta,Alam,Museum dengan pameran yang didedikasikan untuk Gunung Merapi & gunung berapi Indonesia & internasional lain.
W_4288b429,The World Landmarks - Merapi Park Yogyakarta,Yogyakarta,Budaya/Sejarah,"Taman & area piknik dengan versi mini dari bangunan seperti Big Ben & Menara Eiffel, plus taman rekreasi air."
W_9722720a,Agrowisata Bhumi Merapi,Yogyakarta,Budaya/Sejarah,"Taman pertanian tempat pengunjung bisa memerah susu kambing, memberi makan kelinci & selfie di Santorini mini."
W_d9d96e25,Stonehenge Yogyakarta,Yogyakarta,Budaya/Sejarah,Replika beton dari batu berdiri Inggris yang ikonis di lereng Gunung Merapi.
W_cfd68ef0,Plunyon Kalikuning,Yogyakarta,Budaya/Sejarah,"Taman tepi sungai populer yang memiliki jembatan, area pendakian, serta panorama bukit hijau & pegunungan."
W_00d900f9,Plunyon Kalikuning,Yogyakarta,Alam,"Taman tepi sungai populer yang memiliki jembatan, area pendakian, serta panorama bukit hijau & pegunungan."
W_529c8a15,Waterboom Jogja,Yogyakarta,Budaya/Sejarah,Destinasi wisata Waterboom Jogja berlokasi di Yogyakarta.
W_9d3c24e9,Mini Zoo Jogja Exotarium,Yogyakarta,Budaya/Sejarah,"Kebun binatang kecil dengan reptil, hewan ternak, dan ikan, serta pengalaman langsung dan taman bunga."
W_8dd03f35,Suraloka Interactive Zoo,Yogyakarta,Budaya/Sejarah,Destinasi wisata Suraloka Interactive Zoo berlokasi di Yogyakarta.
W_34a89093,Watu Goyang,Yogyakarta,Budaya/Sejarah,"Taman tinggi dengan pemandangan matahari terbenam dan pedesaan, serta perlengkapan unik untuk selfie."
